Sample,PLASMA01,PLASMA02,PLASMA03,PLASMA05,PLASMA06,PLASMA07,QC1,QC2,QC3,QC4,QC5,QC6,SERUM01,SERUM02,SERUM03,SERUM04,SERUM05,SERUM06,WB01,WB02,WB03,WB04,WB05,WB06
Label,Plasma,Plasma,Plasma,Plasma,Plasma,Plasma,QC,QC,QC,QC,QC,QC,Serum,Serum,Serum,Serum,Serum,Serum,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood,whole_blood
242.9256__38.76,5755834.07443,6008158.76211,5357673.12346,5901710.38395,5114768.59298,5657599.29825,5072948.24795,5250954.44931,4581549.68593,5027271.8102,4912563.81561,5196057.17263,1975841.07219,2435081.83298,2046533.90371,2439169.88723,2018148.3149,1970177.84085,2520554.93491,1683824.35198,2050470.46319,1980157.19338,2354301.92642,1884331.30529
244.0792__40.83,2482432.10024,2158991.80645,2184172.9195,2136910.79068,2148594.72021,1749741.22393,4207781.65992,4211946.00939,4275587.50796,4005490.10342,4403342.75833,3983251.80524,5893922.44084,6049674.35293,5777651.53051,5188855.45805,5262509.75839,5416670.98992,6399215.51104,2802164.3154,6191097.47149,5659982.00905,3731202.35147,4837269.28631
244.9466__34.89,1045716.80089,905017.16251,1469280.00934,1354600.54922,1045404.40551,1004072.55175,1687594.19871,1508990.24416,1502692.78515,1399846.88102,1558204.68655,1423580.94591,552929.36822,701438.17094,613221.30333,657024.42229,676977.83956,602837.94954,1658435.61881,1772022.39967,2011043.285,4222012.01077,1580939.90264,1357673.89403
244.9467__11.61,692729.83387,623381.65578,556722.11529,1155051.68142,589654.13339,617623.29055,622199.08767,528817.67981,629625.45221,574135.83238,1189207.79466,633112.59155,628939.0076,382412.59208,388659.58341,723795.82517,709066.67861,295692.37158,611043.18242,50147.06807,645222.21668,613925.60436,618804.26806,842678.32809
245.2032__98.08,618310.05969,612430.09308,823259.50301,833306.99647,924839.49611,783290.27405,2279621.7933,2819561.16799,2998489.21458,3406289.04359,5052073.96644,4410579.93264,1045075.9228,1107536.50992,1554694.63436,1117101.89327,1239534.39061,894375.51682,614421.182,729620.86121,905445.39597,644997.40897,593571.43093,866455.10233
245.2032__76.15,399446.5457,502305.51884,579579.65631,585575.16451,670751.30637,529946.57428,1741553.92375,1347472.8995,1520181.56726,3130842.50405,3274523.44369,3349949.2479,776359.14579,845562.93104,1168868.82912,843313.2106,917366.18009,609458.39382,479756.49505,505699.41568,733491.5296,623952.53496,427415.4689,657004.37871
245.9542__40.02,NA,NA,27543.76317,NA,NA,NA,299677.40114,279669.77254,387853.00804,349427.47979,240737.79549,334671.03656,NA,NA,NA,918203.67392,356815.94769,817481.50995,6771121.7812,4815574.21009,6772360.998,5438109.38225,7350564.43158,5728533.53589
246.7842__38.34,216206.90959,362137.4691,354196.06214,270286.74256,234196.42884,366210.72911,283454.15249,705139.94141,305277.04504,771356.70591,732620.71266,728683.69403,NA,NA,NA,NA,NA,NA,4478357.96876,4710806.38431,5345849.24191,4898694.78829,5100765.36432,4312272.99493
247.0925__44.04,9214981.27392,11628202.66881,11263297.95628,10244277.03086,10785704.58171,10015111.96431,5770257.10358,6922038.39201,7340340.39621,7519175.05427,7728837.56217,7452849.36684,340458.22992,583554.73457,670480.16659,736443.02259,576388.97635,577965.07754,8741094.68209,9743363.96059,8791643.05852,10696288.51388,8077792.89791,8610838.37379
247.1288__92.72,6519109.14953,3541400.48963,3498461.68205,3816790.00715,3079957.97073,3749079.23556,3016757.73594,2904670.0644,3008062.35001,3227579.98868,3050867.00252,3068264.23158,7695133.2072,4537609.82562,3870457.91974,4843218.39525,4300309.98437,3951311.90203,238368.02129,223256.70262,23257.62514,25935.76372,54773.81532,182054.43095
